Friendship Group 2|Location is: Friendship Group|2|17:30:00|18:30:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 3|Location is: Friendship Group|2|20:00:00|21:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 4|Location is: Friendship Group|7|00:00:00|01:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group|Location is: Friendship Group|7|12:00:00|13:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 2|Location is: Friendship Group|7|17:30:00|18:30:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 3|Location is: Friendship Group|7|20:00:00|21:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group|Location is: Friendship Group|1|12:00:00|13:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 2|Location is: Friendship Group|1|17:30:00|18:30:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 3|Location is: Friendship Group|1|20:00:00|21:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group|Location is: Friendship Group|5|12:00:00|13:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 2|Location is: Friendship Group|5|17:30:00|18:30:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 3|Location is: Friendship Group|5|20:00:00|21:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group|Location is: Friendship Group|3|12:00:00|13:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 2|Location is: Friendship Group|3|17:30:00|18:30:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 3|Location is: Friendship Group|3|20:00:00|21:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group|Location is: Friendship Group|4|12:00:00|13:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 2|Location is: Friendship Group|4|17:30:00|18:30:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Friendship Group 3|Location is: Friendship Group|4|20:00:00|21:00:00|3030 N Meridian, WICHITA, TX 67204|33.9709916|-97.99967720000001
Newcomers Group|Location is: Newcomers Group|6|12:00:00|13:00:00|540 W 29th St N, WICHITA, TX 67204|33.8840466|-98.48998689999996
Newcomers Group|Location is: Newcomers Group|6|20:00:00|21:00:00|540 W 29th N, WICHITA, TX 67204|33.8781743|-98.54071950000002
Newcomers Group|Location is: Newcomers Group|2|12:00:00|13:00:00|540 W 29th St N, WICHITA, TX 67204|33.8840466|-98.48998689999996
Newcomers Group|Location is: Newcomers Group|2|20:00:00|21:00:00|540 W 29th N, WICHITA, TX 67204|33.8781743|-98.54071950000002
